,ID,Count
0,18288,411.71400666736645
1,18289,328.56931709230344
2,18290,278.0708440680967
3,18291,229.76000411173084
4,18292,193.3896897965567
5,18293,173.11567230161637
6,18294,186.1463562274515
7,18295,215.88060635355632
8,18296,248.59998788995932
9,18297,321.24550203909723
10,18298,455.9715064244554
11,18299,505.5042016394483
12,18300,510.8598785814535
13,18301,451.81573524541324
14,18302,483.1010830651046
15,18303,476.99912327052493
16,18304,464.8244696755844
17,18305,475.65288753646894
18,18306,487.3592852239117
19,18307,517.1374343413447
20,18308,496.9512148290597
21,18309,463.85137536781514
22,18310,465.53417003538505
23,18311,454.5301562091892
24,18312,392.34435285057907
25,18313,313.1113199782096
26,18314,264.988617330806
27,18315,218.95062753352897
28,18316,184.29140486470206
29,18317,164.97120651118763
30,18318,177.38884392281145
31,18319,205.72420520346157
32,18320,236.90425826622453
33,18321,306.13206391474256
34,18322,434.5196974339093
35,18323,481.72205862239434
36,18324,486.8257703491258
37,18325,430.55944024704684
38,18326,460.37292568899113
39,18327,454.5580410167317
40,18328,442.95616080733157
41,18329,453.27514080126906
42,18330,464.43079484876904
43,18331,492.80798983209763
44,18332,473.57145888393904
45,18333,442.0288470646326
46,18334,443.6324723339607
47,18335,433.14615752931115
48,18336,377.91814771706925
49,18337,301.5984535413376
50,18338,255.24518627621092
51,18339,210.89997854633089
52,18340,177.51514928308185
53,18341,158.90534001161456
54,18342,170.86639028678007
55,18343,198.159881762508
56,18344,228.19346785489392
57,18345,294.87581944507707
58,18346,418.5427367762916
59,18347,464.0095028419115
60,18348,468.9255549482682
61,18349,414.72809525114064
62,18350,443.44536138062256
63,18351,437.84428562010146
64,18352,426.66899777177196
65,18353,436.60855667533417
66,18354,447.3540257602664
67,18355,474.687812745063
68,18356,456.15859449173234
69,18357,425.77578065408636
70,18358,427.32044183504536
71,18359,417.2197008952095
72,18360,262.62356751195034
73,18361,209.5873466346792
74,18362,177.37544972382693
75,18363,146.55899720247692
76,18364,123.35915084723976
77,18365,110.42678829436053
78,18366,118.73878313617871
79,18367,137.7056259419891
80,18368,158.57662028932785
81,18369,204.91564150460647
82,18370,290.854480930343
83,18371,322.4503288130539
84,18372,325.866600696384
85,18373,288.2036032940979
86,18374,308.15985817540843
87,18375,304.26754840669633
88,18376,296.5015970216401
89,18377,303.4088133977718
90,18378,310.8760743449412
91,18379,329.8709193793036
92,18380,316.99456128352784
93,18381,295.88088095540627
94,18382,296.9542997165619
95,18383,289.9350744262229
96,18384,261.670311506034
97,18385,208.82659847016242
98,18386,176.73162246051913
99,18387,146.0270257361386
100,18388,122.91138885640277
101,18389,110.0259674535163
102,18390,118.30779189182054
103,18391,137.2057899363279
104,18392,158.0010279419966
105,18393,204.17185042819602
106,18394,289.79875396942623
107,18395,321.2799170504586
108,18396,324.6837887454831
109,18397,287.15749833722145
110,18398,307.04131714586185
111,18399,303.16313546054704
112,18400,295.42537248169367
113,18401,302.30751743884684
114,18402,309.7476741492827
115,18403,328.67357278145437
116,18404,315.8439525538959
117,18405,294.8069094551382
118,18406,295.87643198226345
119,18407,288.8826846744539
120,18408,410.13929519154397
121,18409,327.31261494991935
122,18410,277.0072869819773
123,18411,228.88122488804493
124,18412,192.65001866830568
125,18413,172.45354463191498
126,18414,185.43438918579886
127,18415,215.05491263722104
128,18416,247.64915005719172
129,18417,320.01681180649587
130,18418,454.22752018112413
131,18419,503.5707642180654
132,18420,508.9059569263434
133,18421,450.0876438719687
134,18422,481.2533324246958
135,18423,475.1747112242808
136,18424,463.0466228819663
137,18425,473.8336245325824
138,18426,485.49524793865413
139,18427,515.1595024778493
140,18428,495.0504906170036
141,18429,462.07725043633593
142,18430,463.7536088009588
143,18431,452.7916827992517
144,18432,400.49115309609795
145,18433,319.6128927928557
146,18434,270.490950465068
147,18435,223.4970088263572
148,18436,188.11810773805925
149,18437,168.39673680350393
150,18438,181.07221916887505
151,18439,209.9959475983344
152,18440,241.8234361653972
153,18441,312.4887165729029
154,18442,443.54224395973
155,18443,491.72473447829327
156,18444,496.9344217839933
157,18445,439.49975435640016
158,18446,469.9322993279478
159,18447,463.9966719878471
160,18448,452.1538855442889
